,Data,Produto_ID,Fornecedor_ID,Quantidade_Compra,Status
0,2018-01-01,1,1,43,Em Trânsito
1,2018-01-01,2,2,25,Entregue
2,2018-01-01,3,3,49,Aguardando Confirmação
3,2018-01-01,4,4,34,Em Trânsito
4,2018-01-01,5,5,36,Em Trânsito
5,2018-01-01,6,6,37,Aguardando Confirmação
6,2018-01-01,7,7,26,Aguardando Confirmação
7,2018-01-01,8,8,34,Em Trânsito
8,2018-01-01,9,9,8,Aguardando Confirmação
9,2018-01-01,10,10,27,Em Trânsito
10,2018-01-02,1,1,48,Entregue
11,2018-01-02,2,2,29,Aguardando Confirmação
12,2018-01-02,3,3,16,Em Trânsito
13,2018-01-02,4,4,21,Em Trânsito
14,2018-01-02,5,5,19,Em Trânsito
15,2018-01-02,6,6,14,Aguardando Confirmação
16,2018-01-02,7,7,39,Entregue
17,2018-01-02,8,8,33,Entregue
18,2018-01-02,9,9,16,Aguardando Confirmação
19,2018-01-02,10,10,5,Em Trânsito
20,2018-01-03,1,1,5,Em Trânsito
21,2018-01-03,2,2,14,Em Trânsito
22,2018-01-03,3,3,22,Aguardando Confirmação
23,2018-01-03,4,4,6,Aguardando Confirmação
24,2018-01-03,5,5,12,Em Trânsito
25,2018-01-03,6,6,26,Em Trânsito
26,2018-01-03,7,7,26,Em Trânsito
27,2018-01-03,8,8,30,Aguardando Confirmação
28,2018-01-03,9,9,30,Aguardando Confirmação
29,2018-01-03,10,10,13,Entregue
30,2018-01-04,1,1,25,Em Trânsito
31,2018-01-04,2,2,35,Em Trânsito
32,2018-01-04,3,3,47,Entregue
33,2018-01-04,4,4,10,Em Trânsito
34,2018-01-04,5,5,18,Entregue
35,2018-01-04,6,6,37,Aguardando Confirmação
36,2018-01-04,7,7,11,Entregue
37,2018-01-04,8,8,28,Entregue
38,2018-01-04,9,9,13,Aguardando Confirmação
39,2018-01-04,10,10,15,Em Trânsito
40,2018-01-05,1,1,27,Entregue
41,2018-01-05,2,2,6,Entregue
42,2018-01-05,3,3,19,Em Trânsito
43,2018-01-05,4,4,39,Entregue
44,2018-01-05,5,5,40,Aguardando Confirmação
45,2018-01-05,6,6,32,Entregue
46,2018-01-05,7,7,43,Em Trânsito
47,2018-01-05,8,8,48,Em Trânsito
48,2018-01-05,9,9,8,Entregue
49,2018-01-05,10,10,14,Em Trânsito
50,2018-01-06,1,1,10,Em Trânsito
51,2018-01-06,2,2,34,Entregue
52,2018-01-06,3,3,39,Entregue
53,2018-01-06,4,4,47,Em Trânsito
54,2018-01-06,5,5,14,Entregue
55,2018-01-06,6,6,36,Aguardando Confirmação
56,2018-01-06,7,7,46,Entregue
57,2018-01-06,8,8,46,Em Trânsito
58,2018-01-06,9,9,7,Aguardando Confirmação
59,2018-01-06,10,10,30,Em Trânsito
60,2018-01-07,1,1,19,Em Trânsito
61,2018-01-07,2,2,21,Aguardando Confirmação
62,2018-01-07,3,3,31,Entregue
63,2018-01-07,4,4,22,Em Trânsito
64,2018-01-07,5,5,23,Entregue
65,2018-01-07,6,6,16,Entregue
66,2018-01-07,7,7,28,Aguardando Confirmação
67,2018-01-07,8,8,9,Em Trânsito
68,2018-01-07,9,9,28,Aguardando Confirmação
69,2018-01-07,10,10,31,Aguardando Confirmação
70,2018-01-08,1,1,34,Em Trânsito
71,2018-01-08,2,2,19,Em Trânsito
72,2018-01-08,3,3,42,Aguardando Confirmação
73,2018-01-08,4,4,48,Aguardando Confirmação
74,2018-01-08,5,5,38,Aguardando Confirmação
75,2018-01-08,6,6,31,Em Trânsito
76,2018-01-08,7,7,24,Em Trânsito
77,2018-01-08,8,8,45,Aguardando Confirmação
78,2018-01-08,9,9,36,Em Trânsito
79,2018-01-08,10,10,8,Em Trânsito
80,2018-01-09,1,1,9,Em Trânsito
81,2018-01-09,2,2,12,Entregue
82,2018-01-09,3,3,26,Entregue
83,2018-01-09,4,4,46,Aguardando Confirmação
84,2018-01-09,5,5,11,Entregue
85,2018-01-09,6,6,26,Aguardando Confirmação
86,2018-01-09,7,7,34,Aguardando Confirmação
87,2018-01-09,8,8,41,Em Trânsito
88,2018-01-09,9,9,20,Aguardando Confirmação
89,2018-01-09,10,10,19,Aguardando Confirmação
90,2018-01-10,1,1,9,Aguardando Confirmação
91,2018-01-10,2,2,7,Aguardando Confirmação
92,2018-01-10,3,3,27,Em Trânsito
93,2018-01-10,4,4,14,Em Trânsito
94,2018-01-10,5,5,9,Aguardando Confirmação
95,2018-01-10,6,6,27,Entregue
96,2018-01-10,7,7,19,Entregue
97,2018-01-10,8,8,22,Aguardando Confirmação
98,2018-01-10,9,9,29,Em Trânsito
99,2018-01-10,10,10,12,Aguardando Confirmação
100,2018-01-11,1,1,35,Aguardando Confirmação
101,2018-01-11,2,2,25,Em Trânsito
102,2018-01-11,3,3,6,Entregue
103,2018-01-11,4,4,26,Aguardando Confirmação
104,2018-01-11,5,5,12,Em Trânsito
105,2018-01-11,6,6,27,Em Trânsito
106,2018-01-11,7,7,36,Aguardando Confirmação
107,2018-01-11,8,8,12,Em Trânsito
108,2018-01-11,9,9,8,Aguardando Confirmação
109,2018-01-11,10,10,34,Entregue
110,2018-01-12,1,1,23,Aguardando Confirmação
111,2018-01-12,2,2,27,Entregue
112,2018-01-12,3,3,22,Em Trânsito
113,2018-01-12,4,4,33,Aguardando Confirmação
114,2018-01-12,5,5,27,Em Trânsito
115,2018-01-12,6,6,37,Aguardando Confirmação
116,2018-01-12,7,7,22,Em Trânsito
117,2018-01-12,8,8,48,Entregue
118,2018-01-12,9,9,37,Aguardando Confirmação
119,2018-01-12,10,10,11,Em Trânsito
120,2018-01-13,1,1,32,Aguardando Confirmação
121,2018-01-13,2,2,5,Aguardando Confirmação
122,2018-01-13,3,3,43,Entregue
123,2018-01-13,4,4,38,Em Trânsito
124,2018-01-13,5,5,43,Aguardando Confirmação
125,2018-01-13,6,6,23,Aguardando Confirmação
126,2018-01-13,7,7,35,Aguardando Confirmação
127,2018-01-13,8,8,17,Aguardando Confirmação
128,2018-01-13,9,9,28,Aguardando Confirmação
129,2018-01-13,10,10,9,Em Trânsito
130,2018-01-14,1,1,27,Aguardando Confirmação
131,2018-01-14,2,2,23,Aguardando Confirmação
132,2018-01-14,3,3,5,Aguardando Confirmação
133,2018-01-14,4,4,37,Em Trânsito
134,2018-01-14,5,5,37,Aguardando Confirmação
135,2018-01-14,6,6,36,Aguardando Confirmação
136,2018-01-14,7,7,32,Entregue
137,2018-01-14,8,8,41,Entregue
138,2018-01-14,9,9,45,Aguardando Confirmação
139,2018-01-14,10,10,16,Aguardando Confirmação
140,2018-01-15,1,1,13,Entregue
141,2018-01-15,2,2,15,Em Trânsito
142,2018-01-15,3,3,37,Em Trânsito
143,2018-01-15,4,4,23,Entregue
144,2018-01-15,5,5,46,Aguardando Confirmação
145,2018-01-15,6,6,38,Entregue
146,2018-01-15,7,7,11,Em Trânsito
147,2018-01-15,8,8,35,Entregue
148,2018-01-15,9,9,6,Em Trânsito
149,2018-01-15,10,10,23,Aguardando Confirmação
150,2018-01-16,1,1,42,Aguardando Confirmação
151,2018-01-16,2,2,36,Aguardando Confirmação
152,2018-01-16,3,3,14,Em Trânsito
153,2018-01-16,4,4,45,Entregue
154,2018-01-16,5,5,12,Aguardando Confirmação
155,2018-01-16,6,6,30,Em Trânsito
156,2018-01-16,7,7,34,Aguardando Confirmação
157,2018-01-16,8,8,15,Entregue
158,2018-01-16,9,9,45,Aguardando Confirmação
159,2018-01-16,10,10,24,Em Trânsito
160,2018-01-17,1,1,24,Em Trânsito
