,Data,Produto_ID,Quantidade_Estoque
0,2018-01-01,1,79
1,2018-01-01,2,92
2,2018-01-01,3,28
3,2018-01-01,4,7
4,2018-01-01,5,26
5,2018-01-01,6,57
6,2018-01-01,7,6
7,2018-01-01,8,92
8,2018-01-01,9,34
9,2018-01-01,10,42
10,2018-01-02,1,6
11,2018-01-02,2,68
12,2018-01-02,3,64
13,2018-01-02,4,25
14,2018-01-02,5,37
15,2018-01-02,6,80
16,2018-01-02,7,62
17,2018-01-02,8,26
18,2018-01-02,9,93
19,2018-01-02,10,53
20,2018-01-03,1,95
21,2018-01-03,2,63
22,2018-01-03,3,46
23,2018-01-03,4,96
24,2018-01-03,5,64
25,2018-01-03,6,84
26,2018-01-03,7,19
27,2018-01-03,8,66
28,2018-01-03,9,66
29,2018-01-03,10,51
30,2018-01-04,1,66
31,2018-01-04,2,55
32,2018-01-04,3,59
33,2018-01-04,4,68
34,2018-01-04,5,7
35,2018-01-04,6,55
36,2018-01-04,7,11
37,2018-01-04,8,25
38,2018-01-04,9,77
39,2018-01-04,10,43
40,2018-01-05,1,22
41,2018-01-05,2,8
42,2018-01-05,3,93
43,2018-01-05,4,64
44,2018-01-05,5,18
45,2018-01-05,6,13
46,2018-01-05,7,94
47,2018-01-05,8,57
48,2018-01-05,9,6
49,2018-01-05,10,88
50,2018-01-06,1,96
51,2018-01-06,2,64
52,2018-01-06,3,75
53,2018-01-06,4,48
54,2018-01-06,5,12
55,2018-01-06,6,51
56,2018-01-06,7,39
57,2018-01-06,8,82
58,2018-01-06,9,85
59,2018-01-06,10,40
60,2018-01-07,1,54
61,2018-01-07,2,8
62,2018-01-07,3,6
63,2018-01-07,4,10
64,2018-01-07,5,58
65,2018-01-07,6,8
66,2018-01-07,7,58
67,2018-01-07,8,97
68,2018-01-07,9,67
69,2018-01-07,10,22
70,2018-01-08,1,94
71,2018-01-08,2,48
72,2018-01-08,3,38
73,2018-01-08,4,78
74,2018-01-08,5,66
75,2018-01-08,6,18
76,2018-01-08,7,99
77,2018-01-08,8,52
78,2018-01-08,9,19
79,2018-01-08,10,76
80,2018-01-09,1,82
81,2018-01-09,2,91
82,2018-01-09,3,66
83,2018-01-09,4,44
84,2018-01-09,5,89
85,2018-01-09,6,84
86,2018-01-09,7,86
87,2018-01-09,8,57
88,2018-01-09,9,28
89,2018-01-09,10,30
90,2018-01-10,1,93
91,2018-01-10,2,64
92,2018-01-10,3,45
93,2018-01-10,4,33
94,2018-01-10,5,19
95,2018-01-10,6,49
96,2018-01-10,7,69
97,2018-01-10,8,93
98,2018-01-10,9,75
99,2018-01-10,10,13
100,2018-01-11,1,92
101,2018-01-11,2,5
102,2018-01-11,3,12
103,2018-01-11,4,92
104,2018-01-11,5,67
105,2018-01-11,6,15
106,2018-01-11,7,85
107,2018-01-11,8,12
108,2018-01-11,9,39
109,2018-01-11,10,39
110,2018-01-12,1,37
111,2018-01-12,2,9
112,2018-01-12,3,45
113,2018-01-12,4,32
114,2018-01-12,5,11
115,2018-01-12,6,77
116,2018-01-12,7,76
117,2018-01-12,8,16
118,2018-01-12,9,38
119,2018-01-12,10,37
120,2018-01-13,1,52
121,2018-01-13,2,27
122,2018-01-13,3,66
123,2018-01-13,4,92
124,2018-01-13,5,41
125,2018-01-13,6,48
126,2018-01-13,7,90
127,2018-01-13,8,95
128,2018-01-13,9,39
129,2018-01-13,10,69
130,2018-01-14,1,51
131,2018-01-14,2,82
132,2018-01-14,3,7
133,2018-01-14,4,5
134,2018-01-14,5,9
135,2018-01-14,6,94
136,2018-01-14,7,18
137,2018-01-14,8,31
138,2018-01-14,9,13
139,2018-01-14,10,83
140,2018-01-15,1,19
141,2018-01-15,2,94
142,2018-01-15,3,46
143,2018-01-15,4,81
144,2018-01-15,5,55
145,2018-01-15,6,67
146,2018-01-15,7,56
147,2018-01-15,8,8
148,2018-01-15,9,98
149,2018-01-15,10,27
150,2018-01-16,1,19
151,2018-01-16,2,47
152,2018-01-16,3,33
153,2018-01-16,4,40
154,2018-01-16,5,17
155,2018-01-16,6,36
156,2018-01-16,7,75
157,2018-01-16,8,63
158,2018-01-16,9,90
159,2018-01-16,10,32
160,2018-01-17,1,70
161,2018-01-17,2,46
162,2018-01-17,3,49
163,2018-01-17,4,66
164,2018-01-17,5,61
165,2018-01-17,6,10
166,2018-01-17,7,32
167,2018-01-17,8,32
168,2018-01-17,9,48
169,2018-01-17,10,88
170,2018-01-18,1,34
171,2018-01-18,2,66
172,2018-01-18,3,79
173,2018-01-18,4,96
174,2018-01-18,5,93
175,2018-01-18,6,66
176,2018-01-18,7,5
177,2018-01-18,8,31
178,2018-01-18,9,66
179,2018-01-18,10,81
180,2018-01-19,1,7
181,2018-01-19,2,74
182,2018-01-19,3,76
